"","Film","loc","Location","region","lon","lat","geoAddress"
"1","Casino Royale","Prague, Czech Republic","Prague","Czech Republic",14.4378005,50.0755381,"prague, czechia"
"2","Casino Royale","Mbale, Uganda","Mbale","Uganda",34.1810057,1.0784436,"mbale, uganda"
"3","Casino Royale","Madagascar","Nambutu Embassy","Madagascar",46.869107,-18.766947,"madagascar"
"4","Casino Royale","Nassau, Bahamas","Nassau","Bahamas",-77.355413,25.0479835,"nassau, the bahamas"
"5","Casino Royale","Miami, USA","Miami","USA",-80.1917902,25.7616798,"miami, fl, usa"
"6","Casino Royale","The Casino Royale, Montenegro","The Casino Royale","Montenegro",18.8658971,42.2818889,"bečići bb, budva 85310, montenegro"
"7","Casino Royale","Venice, Italy","Venice","Italy",12.3155151,45.4408474,"venice, metropolitan city of venice, italy"
"8","Casino Royale","Lake Como, Italy","Lake Como","Italy",9.2571676,46.0160486,"lake como, italy"
"9","Quantum of Solace","Siena, Italy","Siena","Italy",11.3307574,43.318809,"53100 siena, province of siena, italy"
"10","Quantum of Solace","Talamone, Italy","Talamone","Italy",11.131689,42.5555309,"talamone, province of grosseto, italy"
"11","Quantum of Solace","London, UK","London","UK",-0.1277583,51.5073509,"london, uk"
"12","Quantum of Solace","Port-au-Prince, Haiti","Port-au-Prince","Haiti",-72.3074326,18.594395,"port-au-prince, haiti"
"13","Quantum of Solace","Bregenz, Austria","Bregenz","Austria",9.74231,47.50075,"bregenz, austria"
"14","Quantum of Solace","La Paz, Bolivia","La Paz","Bolivia",-68.1192936,-16.489689,"la paz, bolivia"
"15","Quantum of Solace","Kazan, Russia","Kazan","Russia",49.0660806,55.8304307,"kazan, tatarstan, russia"
"16","Skyfall","Istanbul, Turkey","Istanbul","Turkey",28.9783589,41.0082376,"istanbul, turkey"
"17","Skyfall","Aegean coast, Turkey","Aegean coast","Turkey",25.268555,39.019184,"aegean sea"
"18","Skyfall","London, UK","London","UK",-0.1277583,51.5073509,"london, uk"
"19","Skyfall","Shanghai, China","Shanghai","China",121.4737021,31.2303904,"shanghai, china"
"20","Skyfall","Macau, Macau","Macau","Macau",113.543873,22.198745,"macau"
"21","Skyfall","Hashima Island, Japan","Hashima Island","Japan",129.7385884,32.6278328,"hashima island, takashimamachi, nagasaki, nagasaki prefecture 851-1315, japan"
"22","Skyfall","Scotland","Skyfall estate","Scotland",-4.2026458,56.4906712,"scotland, uk"
"23","Spectre","Mexico City, Mexico","Mexico City","Mexico",-99.133208,19.4326077,"mexico city, cdmx, mexico"
"24","Spectre","London, UK","London","UK",-0.1277583,51.5073509,"london, uk"
"25","Spectre","Saint Peters Square, Vatican City","Saint Peters Square","Vatican City",12.456796,41.902218,"piazza san pietro, 00120 città del vaticano, vatican city"
"26","Spectre","Rome, Italy","Rome","Italy",12.4963655,41.9027835,"rome, metropolitan city of rome, italy"
"27","Spectre","Altaussee, Austria","Altaussee","Austria",13.7632523,47.6394589,"8992 altaussee, austria"
"28","Spectre","Tangier, Morocco","Tangier","Morocco",-5.8339543,35.7594651,"tangier, morocco"
