Kanton;Datum und Zeit;Effektiver Datendownload pro Kanton und Stunde in Bytes;Effektiver Datendownload pro Kanton und Stunde in GB
AG;2017-07-02T16:00:00+02:00;2189321168929;2038.9642277071252
AG;2017-07-02T17:00:00+02:00;2276047257382;2119.734191691503
AG;2017-07-02T18:00:00+02:00;2396913778035;2232.29991089087
AG;2017-07-02T20:00:00+02:00;2578732683818;2401.6319623384625
AG;2017-07-02T22:00:00+02:00;1936800491737;1803.7860204810277
AG;2017-07-03T01:00:00+02:00;408432220487;380.38214713986963
AG;2017-07-03T05:00:00+02:00;1244525024748;1159.0542502216995
AG;2017-07-03T08:00:00+02:00;1178096587017;1097.1879465663806
AG;2017-07-03T09:00:00+02:00;1233017999187;1148.3374975500628
AG;2017-07-03T12:00:00+02:00;1406652325600;1310.0470654666424
AG;2017-07-03T15:00:00+02:00;1940477200029;1807.2102219136432
AG;2017-07-03T16:00:00+02:00;2212743501611;2060.7779748840258
AG;2017-07-03T18:00:00+02:00;2171804159421;2022.6502413125709
AG;2017-07-03T20:00:00+02:00;2420906181230;2254.64457760565
AG;2017-07-04T00:00:00+02:00;632253633763;588.832082006149
AG;2017-07-04T05:00:00+02:00;1265703203065;1178.7779657775536
AG;2017-07-04T07:00:00+02:00;1210026141311;1126.9246612777933
AG;2017-07-04T09:00:00+02:00;1205944184228;1123.123042497784
AG;2017-07-04T14:00:00+02:00;1549708860184;1443.2788455709815
AG;2017-07-04T15:00:00+02:00;1838493143646;1712.2301679532975
AG;2017-07-04T19:00:00+02:00;2310872365997;2152.1676015080884
AG;2017-07-04T21:00:00+02:00;2418201517174;2252.125662913546
AG;2017-07-04T22:00:00+02:00;1812029570350;1687.5840447377414
AG;2017-07-04T23:00:00+02:00;1099498806390;1023.9880591537803
AG;2017-07-05T00:00:00+02:00;641579332762;597.5173160079867
AG;2017-07-05T11:00:00+02:00;1956144535065;1821.801564716734
AG;2017-07-05T12:00:00+02:00;1411974458275;1315.0036877719685
AG;2017-07-05T14:00:00+02:00;1576811179756;1468.519847612828
AG;2017-07-05T17:00:00+02:00;2087721008262;1944.3417044933885
AG;2017-07-05T19:00:00+02:00;2212993605779;2061.0109025416896
AG;2017-07-05T22:00:00+02:00;1818307238490;1693.4305787924677
AG;2017-07-05T23:00:00+02:00;1063978444537;990.907144301571
AG;2017-07-06T01:00:00+02:00;391875531183;364.9625286301598
AG;2017-07-06T03:00:00+02:00;335575236426;312.52879316546023
AG;2017-07-06T05:00:00+02:00;1271365192874;1184.051104703918
AG;2017-07-06T09:00:00+02:00;1296197380655;1207.177881761454
AG;2017-07-06T13:00:00+02:00;1492964444369;1390.4314901391044
AG;2017-07-06T15:00:00+02:00;1924027945205;1791.8906595604494
AG;2017-07-06T16:00:00+02:00;2165310055834;2016.6021360401064
AG;2017-07-06T17:00:00+02:00;2114435094938;1969.221136474982
AG;2017-07-06T18:00:00+02:00;2047897484192;1907.2531575262547
AG;2017-07-06T20:00:00+02:00;2170951488941;2021.8561300458387
AG;2017-07-06T21:00:00+02:00;2146324862695;1998.9207970863208
AG;2017-07-06T23:00:00+02:00;1081212769603;1006.9578602937981
AG;2017-07-07T03:00:00+02:00;363940419407;338.9459284087643
AG;2017-07-07T10:00:00+02:00;1697051217702;1580.5021093245596
AG;2017-07-07T11:00:00+02:00;2005922806321;1868.1611924627796
AG;2017-07-07T17:00:00+02:00;2040692888558;1900.5433549713343
AG;2017-07-07T18:00:00+02:00;1982791682733;1846.6186548890546
AG;2017-07-07T19:00:00+02:00;1943533330270;1810.0564649980515
AG;2017-07-07T20:00:00+02:00;2014809599919;1876.4376639565453
AG;2017-07-07T22:00:00+02:00;1759252506691;1638.4315739301965
AG;2017-07-08T00:00:00+02:00;931460840570;867.4905081931502
AG;2017-07-08T01:00:00+02:00;639172148279;595.2754507577047
AG;2017-07-08T03:00:00+02:00;330329164193;307.6430076668039
AG;2017-07-08T08:00:00+02:00;1580615806462;1472.0631823521107
AG;2017-07-08T11:00:00+02:00;1836404077058;1710.2845730800182
AG;2017-07-08T15:00:00+02:00;1904164334665;1773.3912306511775
AG;2017-07-08T16:00:00+02:00;1989438926370;1852.8093829471618
AG;2017-07-09T03:00:00+02:00;390986048227;364.1341330735013
AG;2017-07-09T05:00:00+02:00;446033498910;415.40106656961143
AG;2017-07-09T06:00:00+02:00;636957492851;593.2128921626136
AG;2017-07-09T07:00:00+02:00;1002218516449;933.388729066588
