Kanton;Datum und Zeit;Anzahl SMS pro Kanton und Stunde
AG;2017-07-01T08:00:00+02:00;15936
AG;2017-07-01T20:00:00+02:00;10115
AG;2017-07-01T06:00:00+02:00;9436
AG;2017-07-02T01:00:00+02:00;1617
AG;2017-07-02T03:00:00+02:00;1266
AG;2017-07-01T22:00:00+02:00;5723
AG;2017-07-02T02:00:00+02:00;1216
AG;2017-07-11T18:00:00+02:00;14968
AG;2017-07-12T08:00:00+02:00;18366
AG;2017-07-11T09:00:00+02:00;18154
AG;2017-07-11T20:00:00+02:00;12263
AG;2017-07-12T13:00:00+02:00;18730
AG;2017-07-11T10:00:00+02:00;18474
AG;2017-07-12T03:00:00+02:00;1930
AG;2017-07-12T04:00:00+02:00;4627
AG;2017-07-12T11:00:00+02:00;17076
AG;2017-07-11T22:00:00+02:00;4703
AG;2017-07-03T05:00:00+02:00;10417
AG;2017-07-04T15:00:00+02:00;20528
AG;2017-07-03T17:00:00+02:00;18062
AG;2017-07-04T05:00:00+02:00;11273
AG;2017-07-04T08:00:00+02:00;19784
AG;2017-07-04T09:00:00+02:00;18903
AG;2017-07-04T14:00:00+02:00;19568
AG;2017-07-04T12:00:00+02:00;19232
AG;2017-07-03T04:00:00+02:00;5153
AG;2017-07-04T03:00:00+02:00;2364
AG;2017-07-12T14:00:00+02:00;19048
AG;2017-07-12T16:00:00+02:00;18695
AG;2017-07-12T20:00:00+02:00;12862
AG;2017-07-13T06:00:00+02:00;14956
AG;2017-07-13T08:00:00+02:00;18669
AG;2017-07-13T09:00:00+02:00;17796
AG;2017-07-13T15:00:00+02:00;16702
AG;2017-07-13T16:00:00+02:00;17275
AG;2017-07-13T00:00:00+02:00;3073
AG;2017-07-13T03:00:00+02:00;3509
AG;2017-07-02T08:00:00+02:00;11563
AG;2017-07-02T10:00:00+02:00;13585
AG;2017-07-02T13:00:00+02:00;12609
AG;2017-07-02T16:00:00+02:00;13320
AG;2017-07-02T18:00:00+02:00;14155
AG;2017-07-02T11:00:00+02:00;13028
AG;2017-07-02T12:00:00+02:00;13092
AG;2017-07-03T00:00:00+02:00;1594
AG;2017-07-02T22:00:00+02:00;4317
AG;2017-07-03T02:00:00+02:00;1473
AG;2017-07-10T07:00:00+02:00;17810
AG;2017-07-10T13:00:00+02:00;16946
AG;2017-07-10T14:00:00+02:00;18061
AG;2017-07-10T18:00:00+02:00;14967
AG;2017-07-10T19:00:00+02:00;15558
AG;2017-07-10T03:00:00+02:00;1918
AG;2017-07-10T04:00:00+02:00;4866
AG;2017-07-10T05:00:00+02:00;9348
AG;2017-07-10T23:00:00+02:00;2340
AG;2017-07-10T22:00:00+02:00;4452
AG;2017-07-14T10:00:00+02:00;18733
AG;2017-07-14T17:00:00+02:00;15159
AG;2017-07-14T18:00:00+02:00;14251
AG;2017-07-14T11:00:00+02:00;17371
AG;2017-07-15T00:00:00+02:00;1957
AG;2017-07-05T16:00:00+02:00;19029
AG;2017-07-04T17:00:00+02:00;17712
AG;2017-07-04T20:00:00+02:00;13414
AG;2017-07-05T08:00:00+02:00;19683
AG;2017-07-05T12:00:00+02:00;18346
AG;2017-07-04T21:00:00+02:00;8564
AG;2017-07-04T23:00:00+02:00;3034
AG;2017-07-05T00:00:00+02:00;2098
AG;2017-07-05T03:00:00+02:00;2772
AG;2017-07-04T22:00:00+02:00;5205
AG;2017-07-05T17:00:00+02:00;16882
AG;2017-07-05T18:00:00+02:00;15958
AG;2017-07-06T15:00:00+02:00;19212
AG;2017-07-06T19:00:00+02:00;15720
AG;2017-07-06T21:00:00+02:00;10085
AG;2017-07-06T11:00:00+02:00;18430
AG;2017-07-05T21:00:00+02:00;8935
AG;2017-07-06T03:00:00+02:00;2379
AG;2017-07-05T22:00:00+02:00;5454
AG;2017-07-06T02:00:00+02:00;1608
AG;2017-07-07T07:00:00+02:00;18210
AG;2017-07-07T16:00:00+02:00;19074
AG;2017-07-07T18:00:00+02:00;15005
AG;2017-07-07T19:00:00+02:00;13115
AG;2017-07-08T08:00:00+02:00;15087
AG;2017-07-08T10:00:00+02:00;15866
AG;2017-07-07T11:00:00+02:00;18490
AG;2017-07-07T00:00:00+02:00;1887
AG;2017-07-07T21:00:00+02:00;9251
AG;2017-07-08T01:00:00+02:00;1547
AG;2017-07-08T14:00:00+02:00;14854
