country_entity_name,adjectivals,demonyms,adjectivals_unnested,demonyms_unnested
abkhazia,"abkhaz, abkhazian",abkhazians,abkhaz,abkhazians
abkhazia,"abkhaz, abkhazian",abkhazians,abkhazian,abkhazians
afghanistan,afghan,afghans,afghan,afghans
åland islands,åland island,åland islanders,åland,åland
åland islands,åland island,åland islanders,åland,islanders
åland islands,åland island,åland islanders,island,åland
åland islands,åland island,åland islanders,island,islanders
albania,albanian,albanians,albanian,albanians
algeria,algerian,algerians,algerian,algerians
american samoa,american samoan,american samoans,american,american
american samoa,american samoan,american samoans,american,samoans
american samoa,american samoan,american samoans,samoan,american
american samoa,american samoan,american samoans,samoan,samoans
andorra,andorran,andorrans,andorran,andorrans
angola,angolan,angolans,angolan,angolans
anguilla,anguillan,anguillans,anguillan,anguillans
antarctica,antarctic,antarctic residents,antarctic,antarctic
antarctica,antarctic,antarctic residents,antarctic,residents
antigua and barbuda,antiguan or barbudan,antiguans or barbudans,antiguan,antiguans
antigua and barbuda,antiguan or barbudan,antiguans or barbudans,antiguan,barbudans
antigua and barbuda,antiguan or barbudan,antiguans or barbudans,barbudan,antiguans
antigua and barbuda,antiguan or barbudan,antiguans or barbudans,barbudan,barbudans
argentina,"argentine, argentinian","argentines, argentinians",argentine,argentines
argentina,"argentine, argentinian","argentines, argentinians",argentine,argentinians
argentina,"argentine, argentinian","argentines, argentinians",argentinian,argentines
argentina,"argentine, argentinian","argentines, argentinians",argentinian,argentinians
armenia,armenian,armenians,armenian,armenians
aruba,aruban,arubans,aruban,arubans
australia,australian,australians,australian,australians
austria,austrian,austrians,austrian,austrians
azerbaijan,"azerbaijani, azeri","azerbaijanis, azeris",azerbaijani,azerbaijanis
azerbaijan,"azerbaijani, azeri","azerbaijanis, azeris",azerbaijani,azeris
azerbaijan,"azerbaijani, azeri","azerbaijanis, azeris",azeri,azerbaijanis
azerbaijan,"azerbaijani, azeri","azerbaijanis, azeris",azeri,azeris
"bahamas, the",bahamian,bahamians,bahamian,bahamians
bahrain,bahraini,bahrainis,bahraini,bahrainis
bangladesh,bangladeshi,bangladeshis,bangladeshi,bangladeshis
barbados,barbadian,barbadians,barbadian,barbadians
belarus,belarusian,belarusians,belarusian,belarusians
belgium,belgian,belgians,belgian,belgians
belize,belizean,belizeans,belizean,belizeans
benin,"beninese, beninois","beninese, beninois",beninese,beninese
benin,"beninese, beninois","beninese, beninois",beninese,beninois
benin,"beninese, beninois","beninese, beninois",beninois,beninese
benin,"beninese, beninois","beninese, beninois",beninois,beninois
bermuda,"bermudian, bermudan","bermudians, bermudans",bermudian,bermudians
bermuda,"bermudian, bermudan","bermudians, bermudans",bermudian,bermudans
bermuda,"bermudian, bermudan","bermudians, bermudans",bermudan,bermudians
bermuda,"bermudian, bermudan","bermudians, bermudans",bermudan,bermudans
bhutan,bhutanese,bhutanese,bhutanese,bhutanese
"bolivia, plurnational state of",bolivian,bolivians,bolivian,bolivians
bonaire,bonaire,bonaire dutch,bonaire,bonaire
bonaire,bonaire,bonaire dutch,bonaire,dutch
bosnia and herzegovina,bosnian or herzegovinian,bosnians or herzegovinians,bosnian,bosnians
bosnia and herzegovina,bosnian or herzegovinian,bosnians or herzegovinians,bosnian,herzegovinians
bosnia and herzegovina,bosnian or herzegovinian,bosnians or herzegovinians,herzegovinian,bosnians
bosnia and herzegovina,bosnian or herzegovinian,bosnians or herzegovinians,herzegovinian,herzegovinians
botswana,"motswana, botswanan","batswana singular motswana, botswanans",motswana,batswana
botswana,"motswana, botswanan","batswana singular motswana, botswanans",motswana,singular
botswana,"motswana, botswanan","batswana singular motswana, botswanans",motswana,motswana
botswana,"motswana, botswanan","batswana singular motswana, botswanans",motswana,botswanans
botswana,"motswana, botswanan","batswana singular motswana, botswanans",botswanan,batswana
botswana,"motswana, botswanan","batswana singular motswana, botswanans",botswanan,singular
botswana,"motswana, botswanan","batswana singular motswana, botswanans",botswanan,motswana
botswana,"motswana, botswanan","batswana singular motswana, botswanans",botswanan,botswanans
bouvet island,bouvet island,bouvet islanders,bouvet,bouvet
bouvet island,bouvet island,bouvet islanders,bouvet,islanders
bouvet island,bouvet island,bouvet islanders,island,bouvet
bouvet island,bouvet island,bouvet islanders,island,islanders
brazil,brazilian,brazilians,brazilian,brazilians
british indian ocean territory,biot,british,biot,british
brunei,bruneian,bruneians,bruneian,bruneians
bulgaria,bulgarian,bulgarians,bulgarian,bulgarians
burkina faso,burkinabé,burkinabè/burkinabé,burkinabé,burkinabè
burkina faso,burkinabé,burkinabè/burkinabé,burkinabé,burkinabé
burma,burmese,"burmese, bamar",burmese,burmese
burma,burmese,"burmese, bamar",burmese,bamar
burundi,burundian,"burundians, barundi",burundian,burundians
burundi,burundian,"burundians, barundi",burundian,barundi
cabo verde,cabo verdean,cabo verdeans,cabo,cabo
cabo verde,cabo verdean,cabo verdeans,cabo,verdeans
cabo verde,cabo verdean,cabo verdeans,verdean,cabo
cabo verde,cabo verdean,cabo verdeans,verdean,verdeans
cambodia,cambodian,cambodians,cambodian,cambodians
cameroon,cameroonian,cameroonians,cameroonian,cameroonians
canada,canadian,canadians,canadian,canadians
cayman islands,caymanian,caymanians,caymanian,caymanians
central african republic,central african,central africans,central,central
central african republic,central african,central africans,central,africans
central african republic,central african,central africans,african,central
central african republic,central african,central africans,african,africans
chad,chadian,chadians,chadian,chadians
chile,chilean,chileans,chilean,chileans
"china, people's republic of",chinese,chinese,chinese,chinese
"china, republic of","taiwanese,  formosan","taiwanese,  formosan",taiwanese,taiwanese
"china, republic of","taiwanese,  formosan","taiwanese,  formosan",taiwanese,
"china, republic of","taiwanese,  formosan","taiwanese,  formosan",taiwanese,formosan
"china, republic of","taiwanese,  formosan","taiwanese,  formosan",,taiwanese
"china, republic of","taiwanese,  formosan","taiwanese,  formosan",,
"china, republic of","taiwanese,  formosan","taiwanese,  formosan",,formosan
"china, republic of","taiwanese,  formosan","taiwanese,  formosan",formosan,taiwanese
"china, republic of","taiwanese,  formosan","taiwanese,  formosan",formosan,
"china, republic of","taiwanese,  formosan","taiwanese,  formosan",formosan,formosan
christmas island,christmas island,christmas islanders,christmas,christmas
christmas island,christmas island,christmas islanders,christmas,islanders
christmas island,christmas island,christmas islanders,island,christmas
christmas island,christmas island,christmas islanders,island,islanders
cocos keeling islands,cocos island,cocos islanders,cocos,cocos
cocos keeling islands,cocos island,cocos islanders,cocos,islanders
cocos keeling islands,cocos island,cocos islanders,island,cocos
cocos keeling islands,cocos island,cocos islanders,island,islanders
colombia,colombian,colombians,colombian,colombians
comoros,"comoran, comorian","comorans, comorians",comoran,comorans
comoros,"comoran, comorian","comorans, comorians",comoran,comorians
comoros,"comoran, comorian","comorans, comorians",comorian,comorans
comoros,"comoran, comorian","comorans, comorians",comorian,comorians
"congo, democratic republic of the",congolese,congolese,congolese,congolese
"congo, republic of the",congolese,congolese,congolese,congolese
cook islands,cook island,cook islanders,cook,cook
cook islands,cook island,cook islanders,cook,islanders
cook islands,cook island,cook islanders,island,cook
cook islands,cook island,cook islanders,island,islanders
costa rica,costa rican,costa ricans,costa,costa
costa rica,costa rican,costa ricans,costa,ricans
costa rica,costa rican,costa ricans,rican,costa
costa rica,costa rican,costa ricans,rican,ricans
croatia,croatian,"croatians, croats",croatian,croatians
croatia,croatian,"croatians, croats",croatian,croats
cuba,cuban,cubans,cuban,cubans
curaçao,curaçaoan,curaçaoans,curaçaoan,curaçaoans
cyprus,cypriot,cypriots,cypriot,cypriots
czech republic,czech,czechs,czech,czechs
denmark,danish,danes,danish,danes
djibouti,djiboutian,djiboutians,djiboutian,djiboutians
dominica,dominican,dominicans,dominican,dominicans
dominican republic,dominican,dominicans,dominican,dominicans
east timor,timorese,timorese,timorese,timorese
ecuador,ecuadorian,ecuadorians,ecuadorian,ecuadorians
egypt,egyptian,egyptians,egyptian,egyptians
el salvador,salvadoran,salvadorans,salvadoran,salvadorans
england,"english people, english","english, englishmen/englishwomen",english,english
england,"english people, english","english, englishmen/englishwomen",english,englishmen
england,"english people, english","english, englishmen/englishwomen",english,englishwomen
england,"english people, english","english, englishmen/englishwomen",people,english
england,"english people, english","english, englishmen/englishwomen",people,englishmen
england,"english people, english","english, englishmen/englishwomen",people,englishwomen
england,"english people, english","english, englishmen/englishwomen",english,english
england,"english people, english","english, englishmen/englishwomen",english,englishmen
england,"english people, english","english, englishmen/englishwomen",english,englishwomen
equatorial guinea,"equatorial guinean, equatoguinean","equatorial guineans, equatoguineans",equatorial,equatorial
equatorial guinea,"equatorial guinean, equatoguinean","equatorial guineans, equatoguineans",equatorial,guineans
equatorial guinea,"equatorial guinean, equatoguinean","equatorial guineans, equatoguineans",equatorial,equatoguineans
equatorial guinea,"equatorial guinean, equatoguinean","equatorial guineans, equatoguineans",guinean,equatorial
equatorial guinea,"equatorial guinean, equatoguinean","equatorial guineans, equatoguineans",guinean,guineans
equatorial guinea,"equatorial guinean, equatoguinean","equatorial guineans, equatoguineans",guinean,equatoguineans
equatorial guinea,"equatorial guinean, equatoguinean","equatorial guineans, equatoguineans",equatoguinean,equatorial
equatorial guinea,"equatorial guinean, equatoguinean","equatorial guineans, equatoguineans",equatoguinean,guineans
equatorial guinea,"equatorial guinean, equatoguinean","equatorial guineans, equatoguineans",equatoguinean,equatoguineans
eritrea,eritrean,eritreans,eritrean,eritreans
estonia,estonian,estonians,estonian,estonians
eswatini swaziland,"swazi, swati",swazis,swazi,swazis
eswatini swaziland,"swazi, swati",swazis,swati,swazis
ethiopia,ethiopian,"ethiopians, habesha",ethiopian,ethiopians
ethiopia,ethiopian,"ethiopians, habesha",ethiopian,habesha
european union,european,europeans,european,europeans
falkland islands,falkland island,falkland islanders,falkland,falkland
falkland islands,falkland island,falkland islanders,falkland,islanders
falkland islands,falkland island,falkland islanders,island,falkland
falkland islands,falkland island,falkland islanders,island,islanders
faroe islands,faroese,faroese,faroese,faroese
fiji,fijian,fijians,fijian,fijians
finland,finnish,finns,finnish,finns
france,french,"french, frenchmen/frenchwomen",french,french
france,french,"french, frenchmen/frenchwomen",french,frenchmen
france,french,"french, frenchmen/frenchwomen",french,frenchwomen
french guiana,french guianese,french guianese,french,french
french guiana,french guianese,french guianese,french,guianese
french guiana,french guianese,french guianese,guianese,french
french guiana,french guianese,french guianese,guianese,guianese
french polynesia,french polynesian,french polynesians,french,french
french polynesia,french polynesian,french polynesians,french,polynesians
french polynesia,french polynesian,french polynesians,polynesian,french
