Rank,Title (click to view),Studio,Adjusted Gross,Unadjusted Gross,Release
1,Star Trek,Par.,"$305,404,500","$257,730,019",5/8/09
2,Star Trek: The Motion Picture,Par.,"$289,707,100","$82,258,456",12/7/79
3,Star Trek IV: The Voyage Home,Par.,"$255,210,400","$109,713,132",11/26/86
4,Star Trek Into Darkness,Par.,"$241,336,900","$228,778,661",5/16/13
5,Star Trek II: The Wrath of Khan,Par.,"$237,275,700","$78,912,963",6/4/82
6,Star Trek III: The Search for Spock,Par.,"$201,191,700","$76,471,046",6/1/84
7,Star Trek: First Contact,Par.,"$183,353,800","$92,027,888",11/22/96
8,Star Trek Beyond,Par.,"$164,987,300","$158,848,340",7/22/16
9,Star Trek: Generations,Par.,"$159,520,900","$75,671,125",11/18/94
10,Star Trek VI: The Undiscovered Country,Par.,"$158,198,300","$74,888,996",12/6/91
11,Star Trek: Insurrection,Par.,"$129,936,500","$70,187,658",12/11/98
12,Star Trek V: The Final Frontier,Par.,"$116,256,100","$52,210,049",6/9/89
13,Star Trek: Nemesis,Par.,"$65,064,900","$43,254,409",12/13/02
