"title","year","actors","directors","country","language","description"
"The Blue Bird",1918,"Tula Belle Robin Macdougall","Maurice Tourneur","United States","Silent (English intertitles)","When poor old widow Berlingot asks Tyltyl and Mytyl, the young son and daughter of her more prosperous neighbors, for the loan of their pet bird to cheer up her ill daughter, Mytyl selfishly refuses. That night, when the children are asleep, the fairy Bérylune enters their home in the semblance of Berlingot, before transforming into her true beautiful appearance. She insists that the children search for the bluebird of happiness. She gives Tyltyl a magical hat which has the power to show him the insides of things. As a result, the souls of fire, water, light, bread, sugar and milk becoming personified, and their pet dog and cat can now speak with their masters. Before they all set out, Bérylune warns the children that their new companions will all perish once their quest is achieved."
"Pollyanna",1920,"Mary Pickford","Paul Powell","United States","Silent film English intertitles","The film opens in the Ozarks where a distraught Pollyanna (Mary Pickford) is comforting her father the Reverend John Whittier (Wharton James) as he dies. After his death Pollyanna is sent to live on a New England plantation with her Victorian Aunt Polly (Katherine Griffith)."
"Peter Pan",1924,"Betty Bronson Ernest Torrence Mary Brian Virginia Browne Faire","Herbert Brenon","United States","English","In the story, Peter Pan, a magical boy who refuses to grow up, brings the Darling children (Wendy, John, and Michael) from London to Neverland, where they have adventures that include a confrontation with the pirate Captain Hook and his crew. Later, the children feel homesick and wish to go home. Wendy invites Peter and the Lost Boys to come with them so they can be adopted. The Lost Boys are eager to do so, but Peter refuses because he does not wish to grow up. Wendy and her brothers and the Lost Boys are captured by the pirates, but rescued by Peter, who forces Captain Hook to walk the plank and be eaten by the crocodile who once ate his hand. Wendy and the boys return to the Darling home, where Mrs. Darling meets Peter for the first time and offers to adopt him, but he refuses for the same reason that he refused to go back with Wendy and the boys - he has no intention of growing up. Peter asks Wendy to return to Neverland with him, and Mrs. Darling agrees to allow Wendy to go back once a year to help Peter with his spring cleaning."
"A Kiss For Cinderella",1925,"Betty Bronson Tom Moore Esther Ralston Dorothy Cumming","Herbert Brenon","United States","Silent film (English intertitles)","In London during World War One, a simple-minded slavey awaits her Fairy Godmother and her Prince Charming."
"The Wizard of Oz",1925,"Larry Semon Bryant Washburn Dorothy Dwan Virginia Pearson Oliver Hardy Charles Murray","Larry Semon","United States","Silent film English intertitles","A toymaker (Semon) reads L. Frank Baum's book to his granddaughter. The Land of Oz is ruled by Prime Minister Kruel (Josef Swickard), aided by Ambassador Wikked (Otto Lederer), Lady Vishuss (Virginia Pearson), and the Wizard (Charles Murray), a ""medicine-show hokum hustler"". When the discontented people, led by Prince Kynd (Bryant Washburn), demand the return of the princess, who disappeared while a baby many years before, so she can be crowned their rightful ruler, Kruel has the Wizard distract them with a parlor trick: making a female impersonator (Frederick Ko Vert) appear out of a seemingly empty basket. Kruel sends Wikked on a mission."
"Die Abenteuer des Prinzen Achmed",1926,NA,"Lotte Reiniger Uncredited:Carl Koch","Germany (Weimar Republic)","Silent German intertitles","An African sorcerer (der afrikanische Zauberer) conjures up a flying horse, which he shows to the Caliph. When the sorcerer refuses to sell it for any amount of gold, the Caliph offers any treasure he has. The sorcerer chooses Dinarsade, the Caliph's daughter, to her great distress. Prince Achmed, Dinarsade's brother, objects, but the sorcerer persuades him to try out the horse. It carries the prince away, higher and higher into the sky, as he does not know how to control it. The Caliph has the sorcerer imprisoned."
"Alice in Wonderland",1933,"Charlotte Henry W. C. Fields Richard Arlen Edna May Oliver Cary Grant Gary Cooper Edward Everett Horton Baby Le Roy","Norman Z. Mc Leod","United States","English","Left alone with a governess one snowy afternoon (Alice's sister does not appear in this version), Alice is supremely bored. She idly starts to wonder what life is like on the other side of the drawing room mirror, when she suddenly feels a surge of confidence and climbs upon the mantelpiece to look. She discovers that she can pass through the looking glass and finds herself in a strange room where many things seem to be the exact reverse of what is in the drawing room. Strangely, through all of this, the governess does not seem to notice what has happened."
"Babes in Toyland",1934,"Stan Laurel Oliver Hardy Charlotte Henry Felix Knight Henry Kleinbach Florence Roberts Virginia Karns","Gus Meins Charles Rogers","United States","English","Stannie Dum (Stan Laurel) and Ollie Dee (Oliver Hardy), live in a shoe (as in the nursery rhyme There Was An Old Woman Who Lived In A Shoe), along with Mother Peep (the Old Woman), Bo Peep (Charlotte Henry), a mouse resembling Mickey Mouse (and actually played by a live monkey in a costume), and many other children. The mortgage on the shoe is owned by the villainous Silas Barnaby (Henry Brandon), who is looking to marry Bo Peep. Knowing the Widow Peep is having a difficult time paying the mortgage, Barnaby offers the old woman an ultimatum – unless Bo Peep agrees to marry him he will foreclose on the shoe. Widow Peep refuses, but is worried about where she'll get the money to pay the mortgage. Ollie offers her all the money he has stored away in his savings can, only to learn that Stannie has taken it to buy peewees (a favored toy consisting of a wooden peg with tapered ends that rises in the air when struck with a stick near one end and is then caused to fly through the air by being struck again with the stick). He and Stannie set out to get the money for the mortgage from their boss, the Toymaker (William Burress). But Stannie has mixed up an order from Santa Claus (building 100 wooden soldiers at six feet tall, instead of 600 soldiers at one foot tall) and one of the soldiers, when activated, wrecks the toy shop. Stannie and Ollie are fired without getting the money."
"Curly Top",1935,"Shirley Temple John Boles Rochelle Hudson","Irving Cummings","United States","English","Young Elizabeth Blair (Shirley Temple) lives at the Lakeside Orphanage, a dreary, regimented place supervised by two decent but dour women. Her older sister Mary (Rochelle Hudson) works in the kitchen, laundry, and dormitory. Elizabeth is a sweet child but her high spirits often lead her into trouble with the superintendent."
"The New Gulliver",1935,"Vladimir Konstantinovich Konstantinov (Gulliver)Ivan Yudin Shaolin Santiago (unconfirmed)","Aleksandr Ptushko","Soviet Union","Russian","The story, a Communist re-telling of Gulliver's Travels, is about a young boy who dreams of himself as a version of Gulliver who has landed in Lilliput suffering under capitalist inequality and exploitation."
